"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Multiple.Choice.Grid.object.3.I.had.no.motivation.to.get.started.on.things","Multiple.Choice.Grid.object.3.I.had.no.motivation.to.get.started.on.things..Quantised","Multiple.Choice.Grid.object.3.Nothing.made.me.feel.excited","Multiple.Choice.Grid.object.3.Nothing.made.me.feel.excited.Quantised","Multiple.Choice.Grid.object.3.I.should.have.been.enjoying.things..but.I.couldn.t","Multiple.Choice.Grid.object.3.I.should.have.been.enjoying.things..but.I.couldn.t.Quantised","Multiple.Choice.Grid.object.3.I.felt.detached.from.other.people","Multiple.Choice.Grid.object.3.I.felt.detached.from.other.people..Quantised","Multiple.Choice.Grid.object.3.I.did.not.look.forward.to.anything","Multiple.Choice.Grid.object.3.I.did.not.look.forward.to.anything..Quantised","Multiple.Choice.Grid.object.3.Nothing.felt.fun.or.enjoyable","Multiple.Choice.Grid.object.3.Nothing.felt.fun.or.enjoyable.Quantised","Multiple.Choice.Grid.object.3.I.couldn.t.see.myself.enjoying.things.in.the.future","Multiple.Choice.Grid.object.3.I.couldn.t.see.myself.enjoying.things.in.the.future.Quantised","Multiple.Choice.Grid.object.3.I.felt.enthusiastic","Multiple.Choice.Grid.object.3.I.felt.enthusiastic..Quantised","Multiple.Choice.Grid.object.3.I.did.not.want.to.do.anything","Multiple.Choice.Grid.object.3.I.did.not.want.to.do.anything..Quantised","Multiple.Choice.Grid.object.3.I.pretended.things.excited.me..but.actually.I.found.them.boring","Multiple.Choice.Grid.object.3.I.pretended.things.excited.me..but.actually.I.found.them.boring.Quantised","Multiple.Choice.Grid.object.3.I.felt.connected.to.the.world.around.me","Multiple.Choice.Grid.object.3.I.felt.connected.to.the.world.around.me.Quantised","Multiple.Choice.Grid.object.3.I.did.not.feel.any.emotion","Multiple.Choice.Grid.object.3.I.did.not.feel.any.emotion..Quantised","Multiple.Choice.Grid.object.3.Everything.felt.like.a.lot.of.effort.to.do","Multiple.Choice.Grid.object.3.Everything.felt.like.a.lot.of.effort.to.do.Quantised","Multiple.Choice.Grid.object.3.I.felt.like.my.life.had.meaning.and.purpose","Multiple.Choice.Grid.object.3.I.felt.like.my.life.had.meaning.and.purpose.Quantised","Random_ID"
"1",1700757417915,"23/11/2023 16:36:57",1700757417915,0,"23/11/2023 16:36:57",152734,7,"questionnaire-nsch",NA,33167517,9820685,NA,"rejected - time limit reached",NA,"655f7ea4535ac2cc599ed824","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x707",NA,NA,0,"ASA (Clone)",1,"In","LAKBJCIDHEGF",NA,"In",4,"Often","3","Often","3","Often","3","Always","4","Sometimes","2","Often","3","Always","4","Sometimes","2","Never","1","Often","3","Sometimes","2","Never","1","Always","4","Sometimes","2","MDPRF34589"
"1",1700757438334,"23/11/2023 16:37:18",1700757438334,0,"23/11/2023 16:37:18",152734,7,"questionnaire-nsch",NA,33167548,9820752,NA,"rejected - time limit reached",NA,"655f7f63b006d3ba2d365e96","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1474x829","1466x674",NA,NA,0,"ASA (Clone)",1,"In","KLJAIBHCGDFE",NA,"In",6,"Always","4","Often","3","Often","3","Always","4","Often","3","Often","3","Always","4","Never","1","Often","3","Always","4","Never","1","Never","1","Always","4","Never","1","MDPRF63935"
"1",1700757446773,"23/11/2023 16:37:26",1700757446773,0,"23/11/2023 16:37:26",152734,7,"questionnaire-nsch",NA,33167559,9820722,NA,"rejected - time limit reached",NA,"655f7f240082ccee9bc092b8","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x610",NA,NA,0,"ASA (Clone)",1,"In","JKILHAGBFCED",NA,"In",1,"Sometimes","2","Sometimes","2","Never","1","Never","1","Never","1","Never","1","Sometimes","2","Often","3","Sometimes","2","Never","1","Always","4","Never","1","Never","1","Always","4","MDPRF58963"
"1",1700757486032,"23/11/2023 16:38:06",1700757486032,0,"23/11/2023 16:38:06",152734,7,"questionnaire-nsch",NA,33167613,9820625,NA,"rejected - time limit reached",NA,"655f7bfa11ced56ce4d7f577","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 117.0.0.0","1440x900","1440x698",NA,NA,0,"ASA (Clone)",1,"In","DECFBGAHLIKJ",NA,"In",2,"Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Never","1","Never","1","Never","1","Often","3","Sometimes","2","Sometimes","2","Often","3","Never","1","Sometimes","2","Often","3","MDPRF52836"
"1",1700757529887,"23/11/2023 16:38:49",1700757529887,0,"23/11/2023 16:38:49",152734,7,"questionnaire-nsch",NA,33167673,9820673,NA,"rejected - time limit reached",NA,"655f7e5457bf9a1d80f7bbca","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x707",NA,NA,0,"ASA (Clone)",1,"In","GHFIEJDKCLBA",NA,"In",3,"Sometimes","2","Sometimes","2","Never","1","Never","1","Never","1","Never","1","Never","1","Sometimes","2","Sometimes","2","Never","1","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","MDPRF74794"
"1",1700757638298,"23/11/2023 16:40:38",1700757638298,0,"23/11/2023 16:40:38",152734,7,"questionnaire-nsch",NA,33167825,9820664,NA,"rejected - time limit reached",NA,"655f7d4c53bc8bdaae61f03d","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1920x1080","1280x637",NA,NA,0,"ASA (Clone)",1,"In","FGEHDICJBKAL",NA,"In",5,"Often","3","Often","3","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Never","1","Often","3","Never","1","Sometimes","2","Never","1","Often","3","Sometimes","2","MDPRF51524"
"1",1700757804814,"23/11/2023 16:43:24",1700757804814,0,"23/11/2023 16:43:24",152734,7,"questionnaire-nsch",NA,33167996,9820649,NA,"rejected - time limit reached",NA,"655f7dddb006d3ba2d365e63","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1366x768","1363x609",NA,NA,0,"ASA (Clone)",1,"In","EFDGCHBIAJLK",NA,"In",4,"Sometimes","2","Never","1","Sometimes","2","Sometimes","2","Never","1","Never","1","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Sometimes","2","Sometimes","2","MDPRF38237"
"1",1700757819698,"23/11/2023 16:43:39",1700757819698,0,"23/11/2023 16:43:39",152734,7,"questionnaire-nsch",NA,33168009,9820679,NA,"rejected - time limit reached",NA,"655f7e9ad98c15d4e9c05ed5","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x738",NA,NA,0,"ASA (Clone)",1,"In","HIGJFKELDACB",NA,"In",2,"Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Sometimes","2","Never","1","Never","1","Sometimes","2","Sometimes","2","Sometimes","2","Often","3","Never","1","Sometimes","2","Sometimes","2","MDPRF73709"
"1",1700758017932,"23/11/2023 16:46:57",1700758017932,0,"23/11/2023 16:46:57",152734,7,"questionnaire-nsch",NA,33168189,9820866,NA,"rejected - time limit reached",NA,"655f7dcba2d9e17d377c212a","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1366x768","1165x587",NA,NA,0,"ASA (Clone)",1,"In","ABLCKDJEIFHG",NA,"In",5,"Always","4","Often","3","Often","3","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Often","3","Often","3","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","MDPRF62013"
"1",1700758265608,"23/11/2023 16:51:05",1700758265608,0,"23/11/2023 16:51:05",152734,7,"questionnaire-nsch",NA,33168379,9820510,NA,"rejected - time limit reached",NA,"655f7a4f2a94cd085a122ad7","computer","Desktop or Laptop","Mac OS 10.15.7","Opera 102.0.0.0","1280x800","1226x685",NA,NA,0,"ASA (Clone)",1,"In","DECFBGAHLIKJ",NA,"In",3,"Sometimes","2","Sometimes","2","Never","1","Never","1","Never","1","Sometimes","2","Never","1","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Never","1","Never","1","Always","4","MDPRF16028"
"1",1700758287428,"23/11/2023 16:51:27",1700758287428,0,"23/11/2023 16:51:27",152734,7,"questionnaire-nsch",NA,33168403,9820908,NA,"rejected - time limit reached",NA,"655f81d30fbda4736850d2c1","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x931",NA,NA,0,"ASA (Clone)",1,"In","BCADLEKFJGIH",NA,"In",3,"Often","3","Often","3","Often","3","Often","3","Often","3","Often","3","Often","3","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Sometimes","2","Often","3","Never","1","MDPRF18006"
"1",1700758754312,"23/11/2023 16:59:14",1700758754312,0,"23/11/2023 16:59:14",152734,7,"questionnaire-nsch",NA,33168755,9820915,NA,"rejected - time limit reached",NA,"655f821c784084737cfa47f6","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1920x1200","1821x983",NA,NA,0,"ASA (Clone)",1,"In","CDBEAFLGKHJI",NA,"In",2,"Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Often","3","Never","1","Sometimes","2","Often","3","Sometimes","2","Never","1","Always","4","MDPRF71871"
"1",1700759629935,"23/11/2023 17:13:49",1700759629935,0,"23/11/2023 17:13:49",152734,7,"questionnaire-nsch",NA,33169274,9820987,NA,"rejected - time limit reached",NA,"655f83664c219c2e7e656e36","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x815",NA,NA,0,"ASA (Clone)",1,"In","DECFBGAHLIKJ",NA,"In",1,"Never","1","Never","1","Never","1","Often","3","Never","1","Never","1","Sometimes","2","Often","3","Never","1","Never","1","Never","1","Never","1","Never","1","Often","3","MDPRF77780"
"1",1700759842445,"23/11/2023 17:17:22",1700759842445,0,"23/11/2023 17:17:22",152734,7,"questionnaire-nsch",NA,33169380,9820756,NA,"rejected - time limit reached",NA,"655f7f89b910b6df06f3c02c","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1920x1080","1912x924",NA,NA,0,"ASA (Clone)",1,"In","EFDGCHBIAJLK",NA,"In",4,"Sometimes","2","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Sometimes","2","Always","4","Always","4","Never","1","Never","1","Often","3","Always","4","Always","4","MDPRF30579"
"1",1700764790528,"23/11/2023 18:39:50",1700764790528,0,"23/11/2023 18:39:50",152734,7,"questionnaire-nsch",NA,33171725,9821731,NA,"rejected - time limit reached",NA,"655f996826dab97e2e5df13e","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x739",NA,NA,0,"ASA (Clone)",1,"In","FGEHDICJBKAL",NA,"In",5,"Often","3","Never","1","Never","1","Often","3","Sometimes","2","Sometimes","2","Never","1","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Often","3","Always","4","MDPRF60784"
"1",1700768832403,"23/11/2023 19:47:12",1700750832403,-5,"23/11/2023 09:47:12",152734,7,"questionnaire-nsch",NA,33173632,9822108,NA,"rejected - time limit reached",NA,"655fa4a184706961654d5d6a","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1475x830","1341x612",NA,NA,0,"ASA (Clone)",1,"In","GHFIEJDKCLBA",NA,"In",3,"Often","3","Often","3","Often","3","Often","3","Often","3","Often","3","Often","3","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Never","1","Often","3","Often","3","MDPRF81357"
