"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Spreadsheet.Name","Spreadsheet.Row","Trial.Number","Screen.Number","Screen.Name","Zone.Name","Zone.Type","Reaction.Time","Reaction.Onset","Response.Type","Response","Attempt","Correct","Incorrect","Dishonest","X.Coordinate","Y.Coordinate","Timed.Out","randomise_blocks","randomise_trials","display","animal","ANSWER","Random_ID"
"1",1701885400494,"06/12/2023 17:56:40",1701885397822,0,"06/12/2023 17:56:37",152734,15,"task-9qxs",NA,33496437,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","1504x846",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF55461"
"2",1701885408231,"06/12/2023 17:56:48",1701885405632,0,"06/12/2023 17:56:45",152734,15,"task-9qxs",NA,33496437,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","1504x846",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",5,"",1,"Screen 1","Zone2","response_text_entry",7329.89999985695,NA,"Enter Key","butterfly",1,1,0,0,NA,NA,NA,NA,1,"task","i_butterfly.png","butterfly","MDPRF55461"
"3",1701885410210,"06/12/2023 17:56:50",1701885407664,0,"06/12/2023 17:56:47",152734,15,"task-9qxs",NA,33496437,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","1504x846",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","Spreadsheet1",7,"",1,"Screen 1","Zone2","response_text_entry",2019.90000009537,NA,"Enter Key","sheep",1,1,0,0,NA,NA,NA,NA,1,"task","i_sheep.png","sheep","MDPRF55461"
"4",1701885410281,"06/12/2023 17:56:50",1701885407667,0,"06/12/2023 17:56:47",152734,15,"task-9qxs",NA,33496437,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","1504x846",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","BCADLEKFJGIH",NA,"In",2,"Spreadsheet1","",NA,"END TASK",NA,"","","",9846,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF55461"
"1",1701885422267,"06/12/2023 17:57:02",1701885422222,0,"06/12/2023 17:57:02",152734,15,"task-9qxs",NA,33496461,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF73724"
"2",1701885440784,"06/12/2023 17:57:20",1701885440667,0,"06/12/2023 17:57:20",152734,15,"task-9qxs",NA,33496461,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet1","Spreadsheet1",3,"",1,"Screen 1","Zone2","response_text_entry",18249,NA,"Enter Key","Cat",1,1,0,0,NA,NA,NA,NA,1,"task","i_cat.png","cat","MDPRF73724"
"3",1701885443498,"06/12/2023 17:57:23",1701885443494,0,"06/12/2023 17:57:23",152734,15,"task-9qxs",NA,33496461,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet1","Spreadsheet1",4,"",1,"Screen 1","Zone2","response_text_entry",2815,NA,"Enter Key","Snake",1,1,0,0,NA,NA,NA,NA,1,"task","i_snake.png","snake","MDPRF73724"
"4",1701885443571,"06/12/2023 17:57:23",1701885443501,0,"06/12/2023 17:57:23",152734,15,"task-9qxs",NA,33496461,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","ABLCKDJEIFHG",NA,"In",4,"Spreadsheet1","",NA,"END TASK",NA,"","","",21279,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF73724"
"1",1701885448921,"06/12/2023 17:57:28",1701885448816,0,"06/12/2023 17:57:28",152734,15,"task-9qxs",NA,33496474,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHLIKJ",NA,"In",5,"Spreadsheet1","",NA,"BEGIN TASK",NA,"","","",NA,NA,"","",NA,0,1,0,NA,NA,NA,NA,NA,"","","","MDPRF82002"
"2",1701885456738,"06/12/2023 17:57:36",1701885456672,0,"06/12/2023 17:57:36",152734,15,"task-9qxs",NA,33496474,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,NA,"Bot Checks: Naming Task (Clone)",2,"In","DECFBGAHLIKJ",NA,"In",5,"Spreadsheet1","Spreadsheet1",7,"",1,"Screen 1","Zone2","response_text_entry",7660.19999998808,NA,"Enter Key","sheep",1,1,0,0,NA,NA,NA,NA,1,"task","i_sheep.png","sheep","MDPRF82002"
