"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","Random_ID"
"1",1701885410558,"06/12/2023 17:56:50",1701885410558,0,"06/12/2023 17:56:50",152734,15,"questionnaire-qxhw",NA,33496450,9909115,NA,"complete",NA,"6570b28ad89c24d6e0e1b333","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1504x1003","1504x846",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"In",2,"1-0","1","MDPRF55461"
"1",1701885445683,"06/12/2023 17:57:25",1701885445683,0,"06/12/2023 17:57:25",152734,15,"questionnaire-qxhw",NA,33496471,9908979,NA,"complete",NA,"6570b052226bc4134f504bf1","computer","Desktop or Laptop","Mac OS 10.15.6","Safari 14.0.1","1440x900","1440x820",NA,NA,0,"Attention Check 2",2,"In","ABLCKDJEIFHG",NA,"In",4,"1-0","1","MDPRF73724"
"1",1701885461991,"06/12/2023 17:57:41",1701885461991,0,"06/12/2023 17:57:41",152734,15,"questionnaire-qxhw",NA,33496485,9909113,NA,"complete",NA,"6570b276b0270d43e0a78002","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x919",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"In",6,"1-0","1","MDPRF62430"
"1",1701885463936,"06/12/2023 17:57:43",1701885463936,0,"06/12/2023 17:57:43",152734,15,"questionnaire-qxhw",NA,33496486,9909178,NA,"complete",NA,"6570b44377cbe451a261f3d3","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x708",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHLIKJ",NA,"In",5,"1-0","1","MDPRF82002"
"1",1701886064221,"06/12/2023 18:07:44",1701886064221,0,"06/12/2023 18:07:44",152734,15,"questionnaire-qxhw",NA,33496925,9909224,NA,"complete",NA,"6570b480798caed9bcc7dd50","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1707x821",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK",NA,"In",1,"1-0","1","MDPRF02309"
"1",1701886221416,"06/12/2023 18:10:21",1701886221416,0,"06/12/2023 18:10:21",152734,15,"questionnaire-qxhw",NA,33497078,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCLBA",NA,"In",3,"1-0","1","MDPRF69845"
"1",1701886602007,"06/12/2023 18:16:42",1701886602007,0,"06/12/2023 18:16:42",152734,15,"questionnaire-qxhw",NA,33497488,9909256,NA,"complete",NA,"6570b672a5ca4229dd5ea889","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1368x912","1368x755",NA,NA,0,"Attention Check 2",2,"In","HIGJFKELDACB",NA,"In",5,"1-0","1","MDPRF86222"
"1",1701886657176,"06/12/2023 18:17:37",1701886657176,0,"06/12/2023 18:17:37",152734,15,"questionnaire-qxhw",NA,33497557,9909303,NA,"complete",NA,"6570b78f324aed2935065a2b","computer","Desktop or Laptop","Windows 10","Chrome 118.0.0.0","1280x720","1280x601",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI",NA,"In",6,"1-0","1","MDPRF45811"
"1",1701886675973,"06/12/2023 18:17:55",1701886675973,0,"06/12/2023 18:17:55",152734,15,"questionnaire-qxhw",NA,33497580,9909327,NA,"complete",NA,"6570b891def6aeab21672509","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1536x864","1536x756",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH",NA,"In",4,"1-0","1","MDPRF66053"
"1",1701886678604,"06/12/2023 18:17:58",1701886678604,0,"06/12/2023 18:17:58",152734,15,"questionnaire-qxhw",NA,33497583,9909247,NA,"complete",NA,"6570b6680ea19e92901e5180","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 116.0.0.0","1440x900","1198x723",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKAL",NA,"In",2,"1-0","1","MDPRF27041"
