"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Multiple.Choice.Grid.object.3.I.had.no.motivation.to.get.started.on.things","Multiple.Choice.Grid.object.3.I.had.no.motivation.to.get.started.on.things..Quantised","Multiple.Choice.Grid.object.3.Nothing.made.me.feel.excited","Multiple.Choice.Grid.object.3.Nothing.made.me.feel.excited.Quantised","Multiple.Choice.Grid.object.3.I.should.have.been.enjoying.things..but.I.couldn.t","Multiple.Choice.Grid.object.3.I.should.have.been.enjoying.things..but.I.couldn.t.Quantised","Multiple.Choice.Grid.object.3.I.felt.detached.from.other.people","Multiple.Choice.Grid.object.3.I.felt.detached.from.other.people..Quantised","Multiple.Choice.Grid.object.3.I.did.not.look.forward.to.anything","Multiple.Choice.Grid.object.3.I.did.not.look.forward.to.anything..Quantised","Multiple.Choice.Grid.object.3.Nothing.felt.fun.or.enjoyable","Multiple.Choice.Grid.object.3.Nothing.felt.fun.or.enjoyable.Quantised","Multiple.Choice.Grid.object.3.I.couldn.t.see.myself.enjoying.things.in.the.future","Multiple.Choice.Grid.object.3.I.couldn.t.see.myself.enjoying.things.in.the.future.Quantised","Multiple.Choice.Grid.object.3.I.felt.enthusiastic","Multiple.Choice.Grid.object.3.I.felt.enthusiastic..Quantised","Multiple.Choice.Grid.object.3.I.did.not.want.to.do.anything","Multiple.Choice.Grid.object.3.I.did.not.want.to.do.anything..Quantised","Multiple.Choice.Grid.object.3.I.pretended.things.excited.me..but.actually.I.found.them.boring","Multiple.Choice.Grid.object.3.I.pretended.things.excited.me..but.actually.I.found.them.boring.Quantised","Multiple.Choice.Grid.object.3.I.felt.connected.to.the.world.around.me","Multiple.Choice.Grid.object.3.I.felt.connected.to.the.world.around.me.Quantised","Multiple.Choice.Grid.object.3.I.did.not.feel.any.emotion","Multiple.Choice.Grid.object.3.I.did.not.feel.any.emotion..Quantised","Multiple.Choice.Grid.object.3.Everything.felt.like.a.lot.of.effort.to.do","Multiple.Choice.Grid.object.3.Everything.felt.like.a.lot.of.effort.to.do.Quantised","Multiple.Choice.Grid.object.3.I.felt.like.my.life.had.meaning.and.purpose","Multiple.Choice.Grid.object.3.I.felt.like.my.life.had.meaning.and.purpose.Quantised","Random_ID"
"1",1701888406754,"06/12/2023 18:46:46",1701888406754,0,"06/12/2023 18:46:46",152734,15,"questionnaire-nsch",NA,33499054,9909567,NA,"complete",NA,"6570bf7fe471f41d1eb43ddd","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 119.0.0.0","1440x900","1440x732",NA,NA,0,"ASA (Clone)",1,"In","CDBEAFLGKHJI",NA,"In",4,"Sometimes","2","Never","1","Sometimes","2","Sometimes","2","Never","1","Never","1","Never","1","Often","3","Sometimes","2","Never","1","Sometimes","2","Never","1","Often","3","Always","4","MDPRF20648"
"1",1701888486035,"06/12/2023 18:48:06",1701888486035,0,"06/12/2023 18:48:06",152734,15,"questionnaire-nsch",NA,33499115,9909586,NA,"complete",NA,"6570c10670ac3070e7c69267","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,0,"ASA (Clone)",1,"In","IJHKGLFAEBDC",NA,"In",4,"Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Often","3","Sometimes","2","Never","1","Often","3","Never","1","Never","1","Always","4","MDPRF55701"
"1",1701888497236,"06/12/2023 18:48:17",1701888497236,0,"06/12/2023 18:48:17",152734,15,"questionnaire-nsch",NA,33499127,9909597,NA,"complete",NA,"6570c104592a29d0854f0c44","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1280x720","1280x595",NA,NA,0,"ASA (Clone)",1,"In","KLJAIBHCGDFE",NA,"In",2,"Sometimes","2","Never","1","Sometimes","2","Sometimes","2","Never","1","Never","1","Never","1","Sometimes","2","Never","1","Sometimes","2","Never","1","Never","1","Sometimes","2","Often","3","MDPRF94886"
"1",1701888543307,"06/12/2023 18:49:03",1701888543307,0,"06/12/2023 18:49:03",152734,15,"questionnaire-nsch",NA,33499165,9909596,NA,"complete",NA,"6570c111b0270d43e0a78340","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x707",NA,NA,0,"ASA (Clone)",1,"In","JKILHAGBFCED",NA,"In",1,"Often","3","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Always","4","Often","3","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","MDPRF58446"
"1",1701888587124,"06/12/2023 18:49:47",1701888587124,0,"06/12/2023 18:49:47",152734,15,"questionnaire-nsch",NA,33499190,9909584,NA,"complete",NA,"6570c0f071deefe0f6a687dc","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1536x864","1488x742",NA,NA,0,"ASA (Clone)",1,"In","HIGJFKELDACB",NA,"In",6,"Often","3","Often","3","Sometimes","2","Often","3","Often","3","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Often","3","Often","3","Never","1","MDPRF53694"
"1",1701888648246,"06/12/2023 18:50:48",1701888648246,0,"06/12/2023 18:50:48",152734,15,"questionnaire-nsch",NA,33499218,9909570,NA,"complete",NA,"6570c01271deefe0f6a687bc","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1200x800","1152x686",NA,NA,0,"ASA (Clone)",1,"In","DECFBGAHLIKJ",NA,"In",1,"Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Never","1","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Often","3","Never","1","Sometimes","2","Often","3","MDPRF85972"
"1",1701888731178,"06/12/2023 18:52:11",1701888731178,0,"06/12/2023 18:52:11",152734,15,"questionnaire-nsch",NA,33499271,9909576,NA,"complete",NA,"6570c0c0d9aa5c91a1e3459e","computer","Desktop or Laptop","Windows 10","Firefox 120.0","1920x1080","1920x927",NA,NA,0,"ASA (Clone)",1,"In","GHFIEJDKCLBA",NA,"In",5,"Sometimes","2","Never","1","Never","1","Never","1","Sometimes","2","Never","1","Never","1","Sometimes","2","Often","3","Never","1","Sometimes","2","Never","1","Sometimes","2","Sometimes","2","MDPRF13079"
"1",1701888759672,"06/12/2023 18:52:39",1701888759672,0,"06/12/2023 18:52:39",152734,15,"questionnaire-nsch",NA,33499293,9909577,NA,"complete",NA,"6570c09357bfe1f9f1e9fd4e","computer","Desktop or Laptop","Chromium OS 14541.0.0","Chrome 118.0.0.0","1366x768","1366x644",NA,NA,0,"ASA (Clone)",1,"In","FGEHDICJBKAL",NA,"In",3,"Sometimes","2","Never","1","Never","1","Sometimes","2","Never","1","Never","1","Never","1","Often","3","Never","1","Never","1","Sometimes","2","Sometimes","2","Sometimes","2","Often","3","MDPRF85773"
"1",1701893387464,"06/12/2023 20:09:47",1701893387464,0,"06/12/2023 20:09:47",152734,15,"questionnaire-nsch",NA,33500895,9909979,NA,"complete",NA,"6570ce23d793b1f01aa21481","computer","Desktop or Laptop","Windows 10","Opera 104.0.0.0","1366x768","1312x644",NA,NA,0,"ASA (Clone)",1,"In","LAKBJCIDHEGF",NA,"In",6,"Often","3","Never","1","Never","1","Never","1","Never","1","Sometimes","2","Never","1","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Never","1","Sometimes","2","Often","3","MDPRF73359"
"1",1701893637111,"06/12/2023 20:13:57",1701893637111,0,"06/12/2023 20:13:57",152734,15,"questionnaire-nsch",NA,33500959,9909997,NA,"complete",NA,"6570c819c4f928c614ad00c2","computer","Desktop or Laptop","Windows 10","Firefox 120.0","1920x1080","1920x955",NA,NA,0,"ASA (Clone)",1,"In","ABLCKDJEIFHG",NA,"In",2,"Sometimes","2","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Sometimes","2","Never","1","Sometimes","2","Sometimes","2","Never","1","Often","3","Often","3","Sometimes","2","MDPRF03527"
"1",1701894132553,"06/12/2023 20:22:12",1701894132553,0,"06/12/2023 20:22:12",152734,15,"questionnaire-nsch",NA,33501097,9910010,NA,"complete",NA,"6570d6676f8de97c56e8158c","computer","Desktop or Laptop","Windows 10","Firefox 120.0","2048x1152","2048x991",NA,NA,0,"ASA (Clone)",1,"In","BCADLEKFJGIH",NA,"In",6,"Sometimes","2","Often","3","Always","4","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Never","1","Never","1","Sometimes","2","Sometimes","2","MDPRF55443"
"1",1701896006346,"06/12/2023 20:53:26",1701896006346,0,"06/12/2023 20:53:26",152734,15,"questionnaire-nsch",NA,33501676,9910053,NA,"complete",NA,"6570d749a705b7bf95dc9634","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1536x864","1536x707",NA,NA,0,"ASA (Clone)",1,"In","CDBEAFLGKHJI",NA,"In",4,"Often","3","Sometimes","2","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Sometimes","2","Often","3","Sometimes","2","Often","3","Often","3","Sometimes","2","Sometimes","2","Always","4","MDPRF16047"
"1",1701897399661,"06/12/2023 21:16:39",1701879399661,-5,"06/12/2023 11:16:39",152734,15,"questionnaire-nsch",NA,33502165,9910251,NA,"complete",NA,"6570e0ef5a6d2b943074672f","computer","Desktop or Laptop","Windows 10","Firefox 120.0","2560x1440","1278x1305",NA,NA,0,"ASA (Clone)",1,"In","DECFBGAHLIKJ",NA,"In",3,"Sometimes","2","Never","1","Never","1","Never","1","Never","1","Never","1","Never","1","Often","3","Never","1","Never","1","Always","4","Never","1","Never","1","Always","4","MDPRF06323"
"1",1701945462883,"07/12/2023 10:37:42",1701945462883,0,"07/12/2023 10:37:42",152734,15,"questionnaire-nsch",NA,33511165,9921896,NA,"complete",NA,"65719b5c9df66f11ec06be41","computer","Desktop or Laptop","Windows 10","Edge 119.0.0.0","1536x864","1488x716",NA,NA,0,"ASA (Clone)",1,"In","EFDGCHBIAJLK",NA,"In",5,"Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","MDPRF76846"
"1",1701950146744,"07/12/2023 11:55:46",1701950146744,0,"07/12/2023 11:55:46",152734,15,"questionnaire-nsch",NA,33513863,9922378,NA,"complete",NA,"6571ad809397d9fa8d807aa2","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","2048x1152","2048x1003",NA,NA,0,"ASA (Clone)",1,"In","FGEHDICJBKAL",NA,"In",1,"Often","3","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","Sometimes","2","MDPRF38854"
