"","Status","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Custom.study.tncs.accepted.at","Random_ID"
"11","APPROVED","2023-12-06T18:20:50.645000Z","2023-12-06T19:04:57.773000Z","2023-12-07T11:31:55.109000Z","2023-12-06T19:04:58.581469Z",2648,"C1FKYHSS",206,"English","22","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","","MDPRF32577"
"12","APPROVED","2023-12-06T18:18:14.603000Z","2023-12-06T18:56:59.477000Z","2023-12-07T11:43:59.609000Z","2023-12-06T18:57:00.079875Z",2325,"C1FKYHSS",36,"English","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","","MDPRF78837"
"13","APPROVED","2023-12-06T18:20:42.150000Z","2023-12-06T19:24:29.648000Z","2023-12-07T11:31:55.556000Z","2023-12-06T19:24:30.210326Z",3828,"C1FKYHSS",205,"Polish, English","23","Male","White","Poland","United Kingdom","Poland","Polish","No","Full-Time","","MDPRF82878"
"14","APPROVED","2023-12-06T18:19:11.402000Z","2023-12-06T19:26:47.590000Z","2023-12-07T11:43:59.928000Z","2023-12-06T19:26:48.084801Z",4057,"C1FKYHSS",49,"Afrikaans, Albanian, Amharic, Arabic, Armenian, Basque, Bengali, Belarusian, Burmese, Chinese, English, German, Hindi, Italian, Korean, Japanese, Russian, Polish, Portuguese, Somali, Spanish, Urdu, Mandarin, Cantonese, Punjabi, Malayalam, Gujarati","24","Male","White","Italy","United Kingdom","United States","Italian","No","Full-Time","","MDPRF35299"
"15","APPROVED","2023-12-06T18:19:33.329000Z","2023-12-06T19:17:42.155000Z","2023-12-07T11:30:31.190000Z","2023-12-06T19:17:42.865532Z",3489,"C1FKYHSS",163,"English, Chinese","19","Male","Mixed","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","MDPRF14901"
"16","APPROVED","2023-12-06T18:21:44.446000Z","2023-12-06T19:18:50.180000Z","2023-12-07T11:31:55.893000Z","2023-12-06T19:18:50.760586Z",3426,"C1FKYHSS",171,"English","20","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","","MDPRF93965"
"17","APPROVED","2023-12-06T18:26:54.281000Z","2023-12-06T19:21:20.101000Z","2023-12-07T11:44:00.255000Z","2023-12-06T19:21:20.686960Z",3266,"C1FKYHSS",18,"English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED","","MDPRF36280"
"18","APPROVED","2023-12-06T18:25:50.547000Z","2023-12-06T19:13:57.882000Z","2023-12-07T11:25:07.234000Z","2023-12-06T19:13:58.752040Z",2888,"C1FKYHSS",41,"English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","Welsh","No","Full-Time","","MDPRF40282"
"19","APPROVED","2023-12-06T18:27:58.988000Z","2023-12-06T19:10:20.609000Z","2023-12-07T11:44:00.590000Z","2023-12-06T19:10:21.123304Z",2542,"C1FKYHSS",39,"English","23","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","","MDPRF16874"
"20","APPROVED","2023-12-06T18:29:21.439000Z","2023-12-06T19:34:17.914000Z","2023-12-07T10:49:56.618000Z","2023-12-06T19:34:18.541460Z",3897,"C1FKYHSS",10,"English, Hindi, Urdu","19","Male","Asian","India","United Kingdom","India","Urdu","Yes","Due to start a new job within the next month","","MDPRF29480"
"21","APPROVED","2023-12-06T18:30:43.359000Z","2023-12-06T19:14:35.837000Z","2023-12-07T11:30:31.556000Z","2023-12-06T19:14:36.418028Z",2633,"C1FKYHSS",889,"English","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","","MDPRF49216"
"22","APPROVED","2023-12-06T18:33:55.942000Z","2023-12-06T19:15:28.866000Z","2023-12-07T10:49:56.980000Z","2023-12-06T19:15:29.586864Z",2493,"C1FKYHSS",1205,"English","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","MDPRF05116"
"23","APPROVED","2023-12-06T18:37:21.965000Z","2023-12-06T19:20:15.503000Z","2023-12-07T11:44:00.915000Z","2023-12-06T19:20:16.037966Z",2574,"C1FKYHSS",111,"English","21","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","DATA_EXPIRED","","MDPRF23519"
"24","APPROVED","2023-12-06T18:37:54.095000Z","2023-12-06T19:39:16.797000Z","2023-12-07T11:25:07.603000Z","2023-12-06T19:39:17.534344Z",3683,"C1FKYHSS",192,"English","20","Male","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","","MDPRF41237"
"25","APPROVED","2023-12-06T19:16:16.189000Z","2023-12-06T20:59:45.743000Z","2023-12-07T11:31:56.216000Z","2023-12-06T20:59:46.325640Z",6210,"C1FKYHSS",105,"English","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF03527"
"26","APPROVED","2023-12-06T19:40:53.585000Z","2023-12-06T20:56:02.491000Z","2023-12-07T11:44:01.280000Z","2023-12-06T20:56:03.020374Z",4509,"C1FKYHSS",201,"English","24","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","","MDPRF73359"
"27","APPROVED","2023-12-06T20:15:53.977000Z","2023-12-06T21:00:30.859000Z","2023-12-07T11:44:01.588000Z","2023-12-06T21:00:31.645148Z",2677,"C1FKYHSS",44,"English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Other","","MDPRF55443"
"28","APPROVED","2023-12-06T20:23:09.233000Z","2023-12-06T21:47:39.175000Z","2023-12-07T10:49:58.469000Z","2023-12-06T21:47:39.818122Z",5070,"C1FKYHSS",381,"Bengali, English, Hindi, Urdu","19","Male","Asian","Bangladesh","United Kingdom","Bangladesh","Bengali","Yes","Full-Time","","MDPRF16047"
"29","APPROVED","2023-12-06T21:00:37.446000Z","2023-12-06T22:01:21.329000Z","2023-12-07T11:25:07.925000Z","2023-12-06T22:01:22.340900Z",3644,"C1FKYHSS",1509,"English","25","Male","Mixed","United States","United States","United States","English","DATA_EXPIRED","Full-Time","","MDPRF06323"
"30","APPROVED","2023-12-07T11:33:40.037000Z","2023-12-07T12:35:28.176000Z","2023-12-07T13:05:48.021000Z","2023-12-07T12:35:28.698256Z",3709,"C1FKYHSS",93,"English, German","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","","MDPRF38854"
"31","APPROVED","2023-12-07T12:10:49.347000Z","2023-12-07T13:05:01.300000Z","2023-12-07T16:00:31.182000Z","2023-12-07T13:05:02.230768Z",3252,"C1FKYHSS",390,"English","22","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","MDPRF46587"
"32","APPROVED","2023-12-07T12:11:08.440000Z","2023-12-07T12:50:16.630000Z","2023-12-07T16:00:32.014000Z","2023-12-07T12:50:17.716741Z",2349,"C1FKYHSS",904,"English","24","Male","Asian","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF71538"
"33","APPROVED","2023-12-07T12:16:51.612000Z","2023-12-07T13:00:59.857000Z","2023-12-07T16:00:33.147000Z","2023-12-07T13:01:00.721812Z",2649,"C1FKYHSS",495,"English","18","Male","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","","MDPRF73934"
"34","APPROVED","2023-12-07T12:12:19.836000Z","2023-12-07T14:02:12.136000Z","2023-12-07T16:00:33.935000Z","2023-12-07T14:02:12.642128Z",6593,"C1FKYHSS",107,"English","25","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF12467"
"35","APPROVED","2023-12-07T13:40:31.007000Z","2023-12-07T14:20:34.218000Z","2023-12-07T16:00:34.590000Z","2023-12-07T14:20:35.437489Z",2404,"C1FKYHSS",709,"English","23","Male","White","United Kingdom","United Kingdom","United Kingdom","English","No","Unemployed (and job seeking)","","MDPRF43489"
"36","APPROVED","2023-12-06T17:56:01.750000Z","2023-12-06T18:43:43.300000Z","2023-12-07T11:25:11.150000Z","2023-12-06T18:43:44.113729Z",2862,"C1FKYHSS",357,"Chinese, English","24","Female","Asian","United Kingdom","United Kingdom","United Kingdom","Chinese","No","Full-Time","","MDPRF02309"
"37","APPROVED","2023-12-06T17:59:08.726000Z","2023-12-06T18:47:53.942000Z","2023-12-07T11:30:35.423000Z","2023-12-06T18:47:54.491689Z",2926,"C1FKYHSS",92,"English","20","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","","MDPRF27041"
"38","APPROVED","2023-12-06T17:59:19.159000Z","2023-12-06T18:49:29.594000Z","2023-12-07T10:53:56.441000Z","2023-12-06T18:49:30.406161Z",3011,"C1FKYHSS",47,"English","20","Female","Mixed","United Kingdom","United Kingdom","United Kingdom","English","Yes","Unemployed (and job seeking)","","MDPRF86222"
"39","APPROVED","2023-12-06T17:59:54.660000Z","2023-12-06T18:37:57.575000Z","2023-12-07T11:25:11.569000Z","2023-12-06T18:37:58.349324Z",2283,"C1FKYHSS",812,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","MDPRF69845"
"40","APPROVED","2023-12-06T18:05:02.715000Z","2023-12-06T19:03:41.944000Z","2023-12-07T10:50:00.798000Z","2023-12-06T19:03:42.462945Z",3520,"C1FKYHSS",621,"English","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","MDPRF73880"
"41","APPROVED","2023-12-06T18:03:57.726000Z","2023-12-06T19:01:49.591000Z","2023-12-07T10:53:56.841000Z","2023-12-06T19:01:50.157691Z",3472,"C1FKYHSS",151,"English","23","Female","White","United States","United States","United States","English","Yes","DATA_EXPIRED","","MDPRF63304"
"42","APPROVED","2023-12-06T18:05:11.418000Z","2023-12-06T18:44:41.263000Z","2023-12-07T11:25:11.860000Z","2023-12-06T18:44:41.788971Z",2370,"C1FKYHSS",390,"English","21","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","","MDPRF45811"
"43","APPROVED","2023-12-06T18:10:17.435000Z","2023-12-06T18:49:29.642000Z","2023-12-07T11:25:12.147000Z","2023-12-06T18:49:30.204659Z",2353,"C1FKYHSS",429,"English","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","","MDPRF42986"
"44","APPROVED","2023-12-06T18:15:46.682000Z","2023-12-06T19:03:45.400000Z","2023-12-07T11:25:12.454000Z","2023-12-06T19:03:46.067189Z",2879,"C1FKYHSS",30,"English","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","","MDPRF92026"
"45","APPROVED","2023-12-06T18:20:31.471000Z","2023-12-06T19:07:18.132000Z","2023-12-07T11:33:06.985000Z","2023-12-06T19:07:18.782276Z",2807,"C1FKYHSS",32,"Tagalog-Filipino, English","24","Female","Asian","Philippines","United Kingdom","United Kingdom","Tagalog-Filipino","No","Unemployed (and job seeking)","","MDPRF68797"
"46","APPROVED","2023-12-06T18:22:56.228000Z","2023-12-06T19:02:37.441000Z","2023-12-07T11:32:00.131000Z","2023-12-06T19:02:37.942041Z",2382,"C1FKYHSS",317,"English","20","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Part-Time","","MDPRF27407"
"47","APPROVED","2023-12-06T18:23:27.226000Z","2023-12-06T19:08:52.771000Z","2023-12-07T11:30:35.867000Z","2023-12-06T19:08:53.267468Z",2726,"C1FKYHSS",531,"Chinese, English, Japanese","25","Female","Asian","China","United Kingdom","China","Chinese","DATA_EXPIRED","DATA_EXPIRED","","MDPRF64782"
"48","APPROVED","2023-12-06T18:23:45.849000Z","2023-12-06T19:06:01.515000Z","2023-12-07T11:25:12.749000Z","2023-12-06T19:06:02.049786Z",2536,"C1FKYHSS",649,"English","25","Female","White","United Kingdom","United Kingdom","United Kingdom","English","DATA_EXPIRED","DATA_EXPIRED","","MDPRF01409"
