"X","Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","branch.mcuq","branch.4fv7","randomiser.rr6o","Spreadsheet","Trial.Number","Display","Screen","Screen.ID","Screen.Counter","Response.Type","Response","Onset.Time","Clock.Time","Reaction.Time","Absolute.Onset.Time","Absolute.Clock.Time","Absolute.Reaction.Time","Correct","Response.Onset","Response.Duration","Proportion","Tag","Component.Name","Object.Name","Object.Number","Object.ID","Spreadsheet..display","Spreadsheet..Emo","Spreadsheet..LHS_Lab","Spreadsheet..RHS_Lab","Spreadsheet..rand","Spreadsheet..Win","Spreadsheet..Win2","Spreadsheet..Win3","Spreadsheet..randF","Manipulation..Spreadsheet","Store..MoneyLow","Store..MoneyHigh","Store..MoneyReward","Store..Loss","csum_t","Random_ID"
11,29,1701886336570,"06/12/2023 18:12:16",1701886336570,0,"06/12/2023 18:12:16",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",11,"Rating","Screen 1","poh9ia",1,"response",74,1750.07400000001,2400,2408.64499995232,1750.07400000001,2400,2408.64499995232,1,1750.07400000001,658.57099995231,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",4,NA,NA,NA,NA,NA,NA,NA,0.25,NA,31896.7230003815,"MDPRF69845"
12,31,1701886338028,"06/12/2023 18:12:18",1701886338028,0,"06/12/2023 18:12:18",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",12,"Rating","Screen 1","poh9ia",1,"response",62,816.923999999999,1449.973,1466.56999999999,816.923999999999,1449.973,1466.56999999999,1,816.923999999999,649.645999999993,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",4,NA,NA,NA,NA,NA,NA,NA,0.25,NA,33363.2930003815,"MDPRF69845"
13,34,1701886372913,"06/12/2023 18:12:52",1701886372913,0,"06/12/2023 18:12:52",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",13,"Rating","Screen 1","poh9ia",1,"response",76,3033.40299999999,3933.53999999998,3935.14800009536,3033.40299999999,3933.53999999998,3935.14800009536,1,3033.40299999999,901.745000095369,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",5,NA,NA,NA,NA,NA,NA,NA,0.25,NA,37298.4410004768,"MDPRF69845"
14,36,1701886376648,"06/12/2023 18:12:56",1701886376648,0,"06/12/2023 18:12:56",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",14,"Rating","Screen 1","poh9ia",1,"response",17,2999.98700000002,3733.36900000001,3736.00799995233,2999.98700000002,3733.36900000001,3736.00799995233,1,2999.98700000002,736.020999952307,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",5,NA,NA,NA,NA,NA,NA,NA,0.25,NA,41034.4490004292,"MDPRF69845"
15,38,1701886379308,"06/12/2023 18:12:59",1701886379308,0,"06/12/2023 18:12:59",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",15,"Rating","Screen 1","poh9ia",1,"response",59,2016.807,2650.041,2662.83900000001,2016.807,2650.041,2662.83900000001,1,2016.807,646.032000000007,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",5,NA,NA,NA,NA,NA,NA,NA,0.25,NA,43697.2880004292,"MDPRF69845"
16,41,1701886413786,"06/12/2023 18:13:33",1701886413786,0,"06/12/2023 18:13:33",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",16,"Rating","Screen 1","poh9ia",1,"response",12,2600.08600000001,3516.535,3523.21000004769,2600.08600000001,3516.535,3523.21000004769,1,2600.08600000001,923.124000047683,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",6,NA,NA,NA,NA,NA,NA,NA,0.25,NA,47220.4980004769,"MDPRF69845"
17,43,1701886416152,"06/12/2023 18:13:36",1701886416152,0,"06/12/2023 18:13:36",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",17,"Rating","Screen 1","poh9ia",1,"response",71,1733.35700000002,2366.68700000001,2372.87500009537,1733.35700000002,2366.68700000001,2372.87500009537,1,1733.35700000002,639.518000095355,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",6,NA,NA,NA,NA,NA,NA,NA,0.25,NA,49593.3730005722,"MDPRF69845"
18,45,1701886421080,"06/12/2023 18:13:41",1701886421080,0,"06/12/2023 18:13:41",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",18,"Rating","Screen 1","poh9ia",1,"response",61,1600.19200000001,4916.70499999999,4933.28799999997,1600.19200000001,4916.70499999999,4933.28799999997,1,1600.19200000001,3333.09599999996,0,NA,"Slider","MoodSlider",2,"object-10","Rating","bored","not bored","bored",6,NA,NA,NA,NA,NA,NA,NA,0.25,NA,54526.6610005722,"MDPRF69845"
19,48,1701886455461,"06/12/2023 18:14:15",1701886455461,0,"06/12/2023 18:14:15",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",19,"Rating","Screen 1","poh9ia",1,"response",74,2683.337,3416.745,3431.75399999999,2683.337,3416.745,3431.75399999999,1,2683.337,748.416999999987,0,NA,"Slider","MoodSlider",2,"object-10","Rating","happy","unhappy","happy",7,NA,NA,NA,NA,NA,NA,NA,0.25,NA,57958.4150005722,"MDPRF69845"
20,50,1701886457252,"06/12/2023 18:14:17",1701886457252,0,"06/12/2023 18:14:17",152734,15,"task-4bru",NA,33497083,9909253,NA,"complete",NA,"6570b6970a4f152cb5538b7c","computer","Desktop or Laptop","Windows 10","Chrome 119.0.0.0","1920x1080","1920x923",NA,NA,0,"Rest + Money + Mood rating",33,"In","GHFIEJDKCLBA",NA,"In",3,"Spreadsheet3",20,"Rating","Screen 1","poh9ia",1,"response",10,1150.08299999998,1799.875,1805.10900014304,1150.08299999998,1799.875,1805.10900014304,1,1150.08299999998,655.026000143058,0,NA,"Slider","MoodSlider",2,"object-10","Rating","frustrated","not frustrated","frustrated",7,NA,NA,NA,NA,NA,NA,NA,0.25,NA,59763.5240007152,"MDPRF69845"
