"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day","Multiple.Choice.Grid.object.2.I.swim.across.the.Atlantic.Ocean.to.get.to.work.every.day.Quantised","branch.mcuq","Random_ID"
1,1692095452829,"15/08/2023 10:30",1692099052829,1,"15/08/2023 12:30",140895,9,"questionnaire-qxhw",NA,31188573,NA,"complete",NA,"64db50631956f04e7cca00f0","computer","Desktop or Laptop","Windows 10","Chrome 114.0.0.0","1260x840","1261x729",NA,NA,0,"Attention Check 2",2,"In","BCADLEKFJGIH","1-0",1,"In","MDPRF47214"
1,1692102860579,"15/08/2023 12:34",1692106460579,1,"15/08/2023 14:34",140895,9,"questionnaire-qxhw",NA,31191022,NA,"complete",NA,"64db6ea910e8f3ab36e63856","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 2",2,"In","CDBEAFLGKHJI","1-0",1,"In","MDPRF06342"
1,1692104375397,"15/08/2023 12:59",1692107975397,1,"15/08/2023 14:59",140895,9,"questionnaire-qxhw",NA,31191445,NA,"complete",NA,"64db736e721a14d7eac02c62","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1920x1080","1920x931",NA,NA,0,"Attention Check 2",2,"In","DECFBGAHLIKJ","1-0",1,"In","MDPRF95341"
1,1692109177951,"15/08/2023 14:19",1692112777951,1,"15/08/2023 16:19",140895,9,"questionnaire-qxhw",NA,31203620,NA,"complete",NA,"64db7a1b5e8603d90be71558","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x619",NA,NA,0,"Attention Check 2",2,"In","EFDGCHBIAJLK","1-0",1,"In","MDPRF85444"
1,1692106820554,"15/08/2023 13:40",1692110420554,1,"15/08/2023 15:40",140895,9,"questionnaire-qxhw",NA,31194141,NA,"complete",NA,"64db7d85f63e59df35a8f7d7","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.203","1280x720","1225x601",NA,NA,0,"Attention Check 2",2,"In","FGEHDICJBKAL","1-0",1,"In","MDPRF24628"
1,1692109133114,"15/08/2023 14:18",1692112733114,1,"15/08/2023 16:18",140895,9,"questionnaire-qxhw",NA,31203068,NA,"complete",NA,"64db8407f2ee805a5c359f17","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x707",NA,NA,0,"Attention Check 2",2,"In","GHFIEJDKCLBA","1-0",1,"In","MDPRF10856"
1,1692118214001,"15/08/2023 16:50",1692121814001,1,"15/08/2023 18:50",140895,9,"questionnaire-qxhw",NA,31208655,NA,"complete",NA,"64dbaa214de3d8ec0e732682","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1024x640","1024x523",NA,NA,0,"Attention Check 2",2,"In","IJHKGLFAEBDC","1-0",1,"In","MDPRF73117"
1,1692119344545,"15/08/2023 17:09",1692122944545,1,"15/08/2023 19:09",140895,9,"questionnaire-qxhw",NA,31209108,NA,"complete",NA,"64dbaecf340918a827e6c102","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1366x768","1366x651",NA,NA,0,"Attention Check 2",2,"In","JKILHAGBFCED","1-0",1,"In","MDPRF94497"
1,1692121662571,"15/08/2023 17:47",1692125262571,1,"15/08/2023 19:47",140895,9,"questionnaire-qxhw",NA,31210102,NA,"complete",NA,"64dbb81fcb35a513fa6f0a35","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x739",NA,NA,0,"Attention Check 2",2,"In","KLJAIBHCGDFE","1-0",1,"In","MDPRF15709"
1,1692173929625,"16/08/2023 08:18",1692177529625,1,"16/08/2023 10:18",140895,9,"questionnaire-qxhw",NA,31215166,NA,"complete",NA,"64dc82cd5c737d2b99b512a3","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.203","1920x1080","1872x1001",NA,NA,0,"Attention Check 2",2,"In","LAKBJCIDHEGF","1-0",1,"In","MDPRF54475"
