"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Room.ID","Room.Order","Task.Name","Task.Version","branch.hkzp","order.ot79","Slider_LH.object.2.Value","branch.mcuq","Random_ID"
1,1692620593104,"21/08/2023 12:23",1692624193104,1,"21/08/2023 14:23",140895,11,"questionnaire-txxf",NA,31267103,NA,"complete",NA,"64e35442fc5451919b22bc06","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x739",NA,NA,0,"Life Happiness",2,"In","FGEHDICJBKAL",76,"","MDPRF90079"
1,1692602011201,"21/08/2023 07:13",1692605611201,1,"21/08/2023 09:13",140895,11,"questionnaire-txxf",NA,31264872,NA,"complete",NA,"64e30d0ac2c662ff2bf16f3c","computer","Desktop or Laptop","Mac OS 10.15.7","Chrome 115.0.0.0","1440x900","1366x735",NA,NA,0,"Life Happiness",2,"In","EFDGCHBIAJLK",58,"","MDPRF04190"
1,1692487478568,"19/08/2023 23:24",1692491078568,1,"20/08/2023 01:24",140895,11,"questionnaire-txxf",NA,31259775,NA,"complete",NA,"64e14c8b312d89f6e54938d6","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.5","1440x900","1440x710",NA,NA,0,"Life Happiness",2,"In","DECFBGAHLIKJ",15,"","MDPRF17949"
1,1692455627467,"19/08/2023 14:33",1692459227467,1,"19/08/2023 16:33",140895,11,"questionnaire-txxf",NA,31255876,NA,"complete",NA,"64e0d026da5528b0f8d9f4e0","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1536x864","1536x707",NA,NA,0,"Life Happiness",2,"In","CDBEAFLGKHJI",41,"","MDPRF66080"
1,1692447911809,"19/08/2023 12:25",1692451511809,1,"19/08/2023 14:25",140895,11,"questionnaire-txxf",NA,31255041,NA,"complete",NA,"64e0b2bf7d7d370fb1e87bd4","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1442x945",NA,NA,0,"Life Happiness",2,"In","BCADLEKFJGIH",48,"","MDPRF93511"
1,1692371881654,"18/08/2023 15:18",1692375481654,1,"18/08/2023 17:18",140895,11,"questionnaire-txxf",NA,31247852,NA,"rejected - time limit reached",NA,"64df8799051b63398ae8f4c2","computer","Desktop or Laptop","Mac OS 10.15.7","Safari 16.1","1800x1169","1800x958",NA,NA,0,"Life Happiness",2,"In","ABLCKDJEIFHG",64,"","MDPRF87016"
1,1692369117836,"18/08/2023 14:31",1692372717836,1,"18/08/2023 16:31",140895,11,"questionnaire-txxf",NA,31247199,NA,"complete",NA,"64df70ad330cbb1e7cfa554f","computer","Desktop or Laptop","Windows 10","Chrome 116.0.0.0","1920x1080","1920x963",NA,NA,0,"Life Happiness",2,"In","LAKBJCIDHEGF",26,"","MDPRF45424"
1,1692313001841,"17/08/2023 22:56",1692316601841,1,"18/08/2023 00:56",140895,11,"questionnaire-txxf",NA,31241646,NA,"complete",NA,"64dea3b32f0ee1f7f7627144","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1280x720","1280x571",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",10,"","MDPRF89348"
1,1692973145515,"25/08/2023 14:19",1692976745515,1,"25/08/2023 16:19",140895,11,"questionnaire-txxf",NA,31363891,NA,"complete",NA,"64e8b6d7a33ee79f33a4f2d5","computer","Desktop or Laptop","Windows 10","Chrome 115.0.0.0","1536x864","1536x715",NA,NA,0,"Life Happiness",2,"In","KLJAIBHCGDFE",70,"","MDPRF45704"
1,1692301069110,"17/08/2023 19:37",1692304669110,1,"17/08/2023 21:37",140895,11,"questionnaire-txxf",NA,31240534,NA,"complete",NA,"64de76d5809a8c95d1d63c6b","computer","Desktop or Laptop","Windows 10","Edge 115.0.1901.203","1280x720","1225x601",NA,NA,0,"Life Happiness",2,"In","GHFIEJDKCLBA",63,"","MDPRF70595"
